uf;cod;municipio;qtd_2004;vlr_2004;qtd_2005;vlr_2005;qtd_2006;vlr_2006;qtd_2007;vlr_2007;qtd_2008;vlr_2008;qtd_2009;vlr_2009;qtd_2010;vlr_2010
PR;410280;BELA VISTA DO PARAÍSO;546;160291;873;406141;810;433944.00;613;453572;673;471204.00;706;524608.00;749;584626.00
PI;220155;BELA VISTA DO PIAUÍ;347;299460;496;404109;531;437230.00;560;493168;521;556354.00;605;606523.00;618;722686.00
SC;420213;BELA VISTA DO TOLDO;264;156983;294;249392;336;237229.00;328;274723;332;332500.00;391;392704.00;402;472030.00
PB;250190;BELÉM;842;502730;1129;700975;2285;1415917.00;2459;1969926;2543;2542242.00;2682;2945860.00;2546;3022653.00
AL;270080;BELÉM;317;181640;632;292410;1004;696490.00;943;855165;891;947846.00;821;986297.00;870;1064614.00
PA;150140;BELÉM;30414;12423737;30605;24163634;65727;41890496.00;65466;56072020;67128;68753469.00;77686;84572721.00;81270;88878253.00
PE;260150;BELÉM DE MARIA;1078;792623;1163;969492;1232;957471.00;1490;1260522;1588;1701268.00;1708;2073856.00;1749;2150372.00
PE;260160;BELÉM DE SÃO FRANCISCO;1660;896349;1824;1398844;2343;1748364.00;2365;2108990;2235;2535847.00;2902;3170815.00;3051;3978173.00
PB;250200;BELÉM DO BREJO DO CRUZ;545;286262;932;543832;1146;899636.00;1174;1020998;1165;1225048.00;1190;1356996.00;1169;1398045.00
PI;220157;BELÉM DO PIAUÍ;339;216117;353;281753;475;332742.00;503;410486;552;540590.00;577;615429.00;582;664288.00
RJ;330045;BELFORD ROXO;7067;1890550;14520;7270617;26988;18999484.00;26463;24231049;24957;28336390.00;33236;35164432.00;35747;44789035.00
MG;310610;BELMIRO BRAGA;189;84474;306;187885;354;237631.00;312;232993;273;252554.00;280;234311.00;245;249575.00
SC;420215;BELMONTE;52;27798;132;61898;148;95619.00;136;105832;122;105210.00;109;100047.00;95;97740.00
BA;290340;BELMONTE;473;390106;1064;694275;1922;1103563.00;2879;2178100;2676;2947048.00;3077;3441989.00;2913;3866613.00
BA;290350;BELO CAMPO;1547;1174996;1859;1452093;2002;1538787.00;1951;1796001;1925;2110072.00;2009;2303691.00;1954;2463509.00
MG;310620;BELO HORIZONTE;70957;38320374;72746;49150769;78255;53193678.00;70705;55003522;59666;59545014.00;74248;66596225.00;69421;70095296.00
PE;260170;BELO JARDIM;7095;4393693;9178;6173420;9027;7250668.00;8879;7439480;8715;9054461.00;10808;11075771.00;10293;12349602.00
AL;270090;BELO MONTE;771;472920;1034;764900;1127;946971.00;1116;1026646;1073;1203884.00;1256;1339055.00;1291;1592007.00
MG;310630;BELO ORIENTE;936;516008;1478;889515;1561;1174983.00;1443;1200644;1186;1250211.00;1300;1357569.00;1512;1662510.00
